08/10/2022 15:43:36 Cash input 0.00 3.00 
08/10/2022 15:43:36 Cash input 3.00 6.00 
08/10/2022 15:43:36 Cash input 6.00 7.00 
08/10/2022 15:43:36 Item purchase 7.00 7.00 
08/10/2022 15:47:20 Cash input 0.00 7.00 
08/10/2022 15:47:20 Cash input 7.00 10.00 
08/10/2022 15:47:20 Item purchase 10.00 10.00 
08/10/2022 15:47:20 Item purchase 10.00 10.00 
08/10/2022 15:48:58 Cash input 0.00 5.00 
08/10/2022 15:48:58 Item purchase 5.00 2.75 
08/10/2022 15:48:58 Item purchase 2.75 1.25 
09/10/2022 13:10:02 Cash input 0.00 5.00 
09/10/2022 13:10:02 Item purchase 5.00 2.75 
09/10/2022 13:16:52 Cash input 0.00 3.00 
09/10/2022 13:16:52 Item purchase 3.00 2.25 
09/10/2022 13:22:19 Cash input 0.00 10.00 
09/10/2022 13:22:19 Item purchase 10.00 9.25 
09/10/2022 13:22:19 Item purchase 9.25 8.50 
09/10/2022 13:22:19 Item purchase 8.50 7.75 
09/10/2022 13:22:19 Item purchase 7.75 7.00 
09/10/2022 13:22:19 Item purchase 7.00 6.25 
09/10/2022 13:22:19 Item purchase 6.25 5.50 
09/10/2022 13:27:54 Cash input 0.00 3.00 
09/10/2022 13:27:54 Item purchase 3.00 2.25 
09/10/2022 13:27:54 Item purchase 2.25 1.50 
09/10/2022 13:27:54 Item purchase 1.50 0.75 
09/10/2022 13:27:54 Cash input 0.75 3.75 
09/10/2022 13:27:54 Item purchase 3.75 3.00 
09/10/2022 13:27:54 Item purchase 3.00 2.25 
09/10/2022 13:27:54 Item purchase 2.25 2.25 
09/10/2022 13:27:54 Item purchase 2.25 2.25 
09/10/2022 20:59:04 | Cash input | PreBalance: %s | PostBalance: $6.99 
10/10/2022 19:04:45 | Cloud Popcorn | PreBalance: $3.65 | PostBalance: $5.00 
10/10/2022 19:04:45 | Moonpie | PreBalance: $1.80 | PostBalance: $5.00 
10/10/2022 19:04:45 | Cowtales | PreBalance: $1.50 | PostBalance: $5.00 
10/10/2022 19:04:45 | Wonka Bar | PreBalance: $1.50 | PostBalance: $5.00 
10/10/2022 19:04:45 | Crunchie | PreBalance: $1.75 | PostBalance: $5.00 
10/10/2022 19:04:45 | Cola | PreBalance: $1.25 | PostBalance: $5.00 
10/10/2022 19:04:45 | Dr. Salt | PreBalance: $1.50 | PostBalance: $5.00 
10/10/2022 19:04:45 | Mountain Melter | PreBalance: $1.50 | PostBalance: $5.00 
10/10/2022 19:04:45 | Heavy | PreBalance: $1.50 | PostBalance: $5.00 
10/10/2022 19:04:45 | U-Chews | PreBalance: $0.85 | PostBalance: $5.00 
10/10/2022 19:04:45 | Little League Chew | PreBalance: $0.95 | PostBalance: $5.00 
10/10/2022 19:04:45 | Chiclets | PreBalance: $0.75 | PostBalance: $5.00 
10/10/2022 19:04:45 | Triplemint | PreBalance: $0.75 | PostBalance: $4.25 
10/10/2022 19:04:45 | Cashed out | PreBalance: $4.25 | PostBalance: $0 
10/10/2022 19:04:45 | Potato Crisps | PreBalance: $3.05 | PostBalance: $0.00 
10/10/2022 19:04:45 | Stackers | PreBalance: $1.45 | PostBalance: $0.00 
10/10/2022 19:04:45 | Grain Waves | PreBalance: $2.75 | PostBalance: $0.00 
10/10/2022 19:04:45 | Cloud Popcorn | PreBalance: $3.65 | PostBalance: $0.00 
10/10/2022 19:04:45 | Moonpie | PreBalance: $1.80 | PostBalance: $0.00 
10/10/2022 19:04:45 | Cowtales | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:04:45 | Wonka Bar | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:04:45 | Crunchie | PreBalance: $1.75 | PostBalance: $0.00 
10/10/2022 19:04:45 | Cola | PreBalance: $1.25 | PostBalance: $0.00 
10/10/2022 19:04:45 | Dr. Salt | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:04:45 | Mountain Melter | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:04:45 | Heavy | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:04:45 | U-Chews | PreBalance: $0.85 | PostBalance: $0.00 
10/10/2022 19:04:45 | Little League Chew | PreBalance: $0.95 | PostBalance: $0.00 
10/10/2022 19:04:45 | Chiclets | PreBalance: $0.75 | PostBalance: $0.00 
10/10/2022 19:04:45 | Triplemint | PreBalance: $0.75 | PostBalance: $0.00 
10/10/2022 19:07:47 | Potato Crisps | PreBalance: $3.05 | PostBalance: $0.00 
10/10/2022 19:07:47 | Stackers | PreBalance: $1.45 | PostBalance: $0.00 
10/10/2022 19:07:47 | Grain Waves | PreBalance: $2.75 | PostBalance: $0.00 
10/10/2022 19:07:47 | Cloud Popcorn | PreBalance: $3.65 | PostBalance: $0.00 
10/10/2022 19:07:47 | Moonpie | PreBalance: $1.80 | PostBalance: $0.00 
10/10/2022 19:07:47 | Cowtales | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:07:47 | Wonka Bar | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:07:47 | Crunchie | PreBalance: $1.75 | PostBalance: $0.00 
10/10/2022 19:07:47 | Cola | PreBalance: $1.25 | PostBalance: $0.00 
10/10/2022 19:07:47 | Dr. Salt | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:07:47 | Mountain Melter | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:07:47 | Heavy | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:07:47 | U-Chews | PreBalance: $0.85 | PostBalance: $0.00 
10/10/2022 19:07:47 | Little League Chew | PreBalance: $0.95 | PostBalance: $0.00 
10/10/2022 19:07:47 | Chiclets | PreBalance: $0.75 | PostBalance: $0.00 
10/10/2022 19:07:47 | Triplemint | PreBalance: $0.75 | PostBalance: $0.00 
10/10/2022 19:07:47 | Potato Crisps | PreBalance: $3.05 | PostBalance: $0.00 
10/10/2022 19:07:47 | Stackers | PreBalance: $1.45 | PostBalance: $0.00 
10/10/2022 19:07:47 | Grain Waves | PreBalance: $2.75 | PostBalance: $0.00 
10/10/2022 19:07:47 | Cloud Popcorn | PreBalance: $3.65 | PostBalance: $0.00 
10/10/2022 19:07:47 | Moonpie | PreBalance: $1.80 | PostBalance: $0.00 
10/10/2022 19:07:47 | Cowtales | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:07:47 | Wonka Bar | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:07:47 | Crunchie | PreBalance: $1.75 | PostBalance: $0.00 
10/10/2022 19:07:47 | Cola | PreBalance: $1.25 | PostBalance: $0.00 
10/10/2022 19:07:47 | Dr. Salt | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:07:47 | Mountain Melter | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:07:47 | Heavy | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:07:47 | U-Chews | PreBalance: $0.85 | PostBalance: $0.00 
10/10/2022 19:07:47 | Little League Chew | PreBalance: $0.95 | PostBalance: $0.00 
10/10/2022 19:07:47 | Chiclets | PreBalance: $0.75 | PostBalance: $0.00 
10/10/2022 19:07:47 | Triplemint | PreBalance: $0.75 | PostBalance: $0.00 
10/10/2022 19:07:47 | Cash input | PreBalance: $3.00 | PostBalance: $3.00 
10/10/2022 19:09:37 | Potato Crisps | PreBalance: $3.05 | PostBalance: $0.00 
10/10/2022 19:09:37 | Stackers | PreBalance: $1.45 | PostBalance: $0.00 
10/10/2022 19:09:37 | Grain Waves | PreBalance: $2.75 | PostBalance: $0.00 
10/10/2022 19:09:37 | Cloud Popcorn | PreBalance: $3.65 | PostBalance: $0.00 
10/10/2022 19:09:37 | Moonpie | PreBalance: $1.80 | PostBalance: $0.00 
10/10/2022 19:09:37 | Cowtales | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:09:37 | Wonka Bar | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:09:37 | Crunchie | PreBalance: $1.75 | PostBalance: $0.00 
10/10/2022 19:09:37 | Cola | PreBalance: $1.25 | PostBalance: $0.00 
10/10/2022 19:09:37 | Dr. Salt | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:09:37 | Mountain Melter | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:09:37 | Heavy | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:09:37 | U-Chews | PreBalance: $0.85 | PostBalance: $0.00 
10/10/2022 19:09:37 | Little League Chew | PreBalance: $0.95 | PostBalance: $0.00 
10/10/2022 19:09:37 | Chiclets | PreBalance: $0.75 | PostBalance: $0.00 
10/10/2022 19:10:55 | Potato Crisps | PreBalance: $3.05 | PostBalance: $0.00 
10/10/2022 19:10:55 | Stackers | PreBalance: $1.45 | PostBalance: $0.00 
10/10/2022 19:10:55 | Grain Waves | PreBalance: $2.75 | PostBalance: $0.00 
10/10/2022 19:10:55 | Cloud Popcorn | PreBalance: $3.65 | PostBalance: $0.00 
10/10/2022 19:10:55 | Moonpie | PreBalance: $1.80 | PostBalance: $0.00 
10/10/2022 19:10:55 | Cowtales | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:10:55 | Wonka Bar | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:10:55 | Crunchie | PreBalance: $1.75 | PostBalance: $0.00 
10/10/2022 19:10:55 | Cola | PreBalance: $1.25 | PostBalance: $0.00 
10/10/2022 19:10:55 | Dr. Salt | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:10:55 | Mountain Melter | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:10:55 | Heavy | PreBalance: $1.50 | PostBalance: $0.00 
10/10/2022 19:10:55 | U-Chews | PreBalance: $0.85 | PostBalance: $0.00 
10/10/2022 19:10:55 | Little League Chew | PreBalance: $0.95 | PostBalance: $0.00 
29/10/2022 13:40:58 | Cash input | PreBalance: $3.00 | PostBalance: $3.00 
29/10/2022 13:40:58 | Potato Crisps | PreBalance: $3.05 | PostBalance: $3.00 
29/10/2022 13:40:58 | Stackers | PreBalance: $1.45 | PostBalance: $3.00 
29/10/2022 13:40:58 | Grain Waves | PreBalance: $2.75 | PostBalance: $3.00 
29/10/2022 13:40:58 | Cloud Popcorn | PreBalance: $3.65 | PostBalance: $3.00 
29/10/2022 13:40:58 | Moonpie | PreBalance: $1.80 | PostBalance: $3.00 
29/10/2022 13:40:58 | Cowtales | PreBalance: $1.50 | PostBalance: $3.00 
29/10/2022 13:40:58 | Wonka Bar | PreBalance: $1.50 | PostBalance: $3.00 
29/10/2022 13:40:58 | Crunchie | PreBalance: $1.75 | PostBalance: $3.00 
29/10/2022 13:40:58 | Cola | PreBalance: $1.25 | PostBalance: $3.00 
29/10/2022 13:40:58 | Dr. Salt | PreBalance: $1.50 | PostBalance: $3.00 
29/10/2022 13:40:58 | Mountain Melter | PreBalance: $1.50 | PostBalance: $1.50 
29/10/2022 13:40:58 | Heavy | PreBalance: $1.50 | PostBalance: $1.50 
29/10/2022 13:40:58 | U-Chews | PreBalance: $0.85 | PostBalance: $1.50 
29/10/2022 13:40:58 | Little League Chew | PreBalance: $0.95 | PostBalance: $1.50 
29/10/2022 13:40:58 | Chiclets | PreBalance: $0.75 | PostBalance: $1.50 
29/10/2022 13:40:58 | Triplemint | PreBalance: $0.75 | PostBalance: $1.50 
29/10/2022 13:40:58 | Cash input | PreBalance: $50.00 | PostBalance: $51.50 
29/10/2022 13:40:58 | Potato Crisps | PreBalance: $3.05 | PostBalance: $51.50 
29/10/2022 13:40:58 | Stackers | PreBalance: $1.45 | PostBalance: $51.50 
29/10/2022 13:40:58 | Grain Waves | PreBalance: $2.75 | PostBalance: $51.50 
29/10/2022 13:40:58 | Cloud Popcorn | PreBalance: $3.65 | PostBalance: $51.50 
29/10/2022 13:40:58 | Moonpie | PreBalance: $1.80 | PostBalance: $51.50 
29/10/2022 13:40:58 | Cowtales | PreBalance: $1.50 | PostBalance: $51.50 
29/10/2022 13:40:58 | Wonka Bar | PreBalance: $1.50 | PostBalance: $51.50 
29/10/2022 13:40:58 | Crunchie | PreBalance: $1.75 | PostBalance: $51.50 
29/10/2022 13:40:58 | Cola | PreBalance: $1.25 | PostBalance: $51.50 
29/10/2022 13:40:58 | Dr. Salt | PreBalance: $1.50 | PostBalance: $51.50 
29/10/2022 13:40:58 | Mountain Melter | PreBalance: $1.50 | PostBalance: $50.00 
29/10/2022 13:40:58 | Heavy | PreBalance: $1.50 | PostBalance: $50.00 
29/10/2022 13:40:58 | U-Chews | PreBalance: $0.85 | PostBalance: $50.00 
29/10/2022 13:40:58 | Little League Chew | PreBalance: $0.95 | PostBalance: $50.00 
29/10/2022 13:40:58 | Chiclets | PreBalance: $0.75 | PostBalance: $50.00 
29/10/2022 13:40:58 | Triplemint | PreBalance: $0.75 | PostBalance: $50.00 
29/10/2022 13:40:58 | Potato Crisps | PreBalance: $3.05 | PostBalance: $50.00 
29/10/2022 13:40:58 | Stackers | PreBalance: $1.45 | PostBalance: $50.00 
29/10/2022 13:40:58 | Grain Waves | PreBalance: $2.75 | PostBalance: $50.00 
29/10/2022 13:40:58 | Cloud Popcorn | PreBalance: $3.65 | PostBalance: $50.00 
29/10/2022 13:40:58 | Moonpie | PreBalance: $1.80 | PostBalance: $50.00 
29/10/2022 13:40:58 | Cowtales | PreBalance: $1.50 | PostBalance: $50.00 
29/10/2022 13:40:58 | Wonka Bar | PreBalance: $1.50 | PostBalance: $50.00 
29/10/2022 13:40:58 | Crunchie | PreBalance: $1.75 | PostBalance: $50.00 
29/10/2022 13:40:58 | Cola | PreBalance: $1.25 | PostBalance: $50.00 
29/10/2022 13:40:58 | Dr. Salt | PreBalance: $1.50 | PostBalance: $50.00 
29/10/2022 13:40:58 | Mountain Melter | PreBalance: $1.50 | PostBalance: $48.50 
29/10/2022 13:40:58 | Heavy | PreBalance: $1.50 | PostBalance: $48.50 
29/10/2022 13:40:58 | U-Chews | PreBalance: $0.85 | PostBalance: $48.50 
29/10/2022 13:40:58 | Little League Chew | PreBalance: $0.95 | PostBalance: $48.50 
29/10/2022 13:40:58 | Chiclets | PreBalance: $0.75 | PostBalance: $48.50 
29/10/2022 13:40:58 | Triplemint | PreBalance: $0.75 | PostBalance: $48.50 
29/10/2022 13:40:58 | Potato Crisps | PreBalance: $3.05 | PostBalance: $48.50 
29/10/2022 13:40:58 | Stackers | PreBalance: $1.45 | PostBalance: $48.50 
29/10/2022 13:40:58 | Grain Waves | PreBalance: $2.75 | PostBalance: $48.50 
29/10/2022 13:40:58 | Cloud Popcorn | PreBalance: $3.65 | PostBalance: $48.50 
29/10/2022 13:40:58 | Moonpie | PreBalance: $1.80 | PostBalance: $48.50 
29/10/2022 13:40:58 | Cowtales | PreBalance: $1.50 | PostBalance: $48.50 
29/10/2022 13:40:58 | Wonka Bar | PreBalance: $1.50 | PostBalance: $48.50 
29/10/2022 13:40:58 | Crunchie | PreBalance: $1.75 | PostBalance: $48.50 
29/10/2022 13:40:58 | Cola | PreBalance: $1.25 | PostBalance: $48.50 
29/10/2022 13:40:58 | Dr. Salt | PreBalance: $1.50 | PostBalance: $48.50 
29/10/2022 13:40:58 | Mountain Melter | PreBalance: $1.50 | PostBalance: $47.00 
29/10/2022 13:40:58 | Heavy | PreBalance: $1.50 | PostBalance: $47.00 
29/10/2022 13:40:58 | U-Chews | PreBalance: $0.85 | PostBalance: $47.00 
29/10/2022 13:40:58 | Little League Chew | PreBalance: $0.95 | PostBalance: $47.00 
29/10/2022 13:40:58 | Chiclets | PreBalance: $0.75 | PostBalance: $47.00 
29/10/2022 13:40:58 | Triplemint | PreBalance: $0.75 | PostBalance: $47.00 
29/10/2022 13:40:58 | Potato Crisps | PreBalance: $3.05 | PostBalance: $47.00 
29/10/2022 13:40:58 | Stackers | PreBalance: $1.45 | PostBalance: $47.00 
29/10/2022 13:40:58 | Grain Waves | PreBalance: $2.75 | PostBalance: $47.00 
29/10/2022 13:40:58 | Cloud Popcorn | PreBalance: $3.65 | PostBalance: $47.00 
29/10/2022 13:40:58 | Moonpie | PreBalance: $1.80 | PostBalance: $47.00 
29/10/2022 13:40:58 | Cowtales | PreBalance: $1.50 | PostBalance: $47.00 
29/10/2022 13:40:58 | Wonka Bar | PreBalance: $1.50 | PostBalance: $47.00 
29/10/2022 13:40:58 | Crunchie | PreBalance: $1.75 | PostBalance: $47.00 
29/10/2022 13:40:58 | Cola | PreBalance: $1.25 | PostBalance: $47.00 
29/10/2022 13:40:58 | Dr. Salt | PreBalance: $1.50 | PostBalance: $47.00 
29/10/2022 13:40:58 | Mountain Melter | PreBalance: $1.50 | PostBalance: $45.50 
29/10/2022 13:40:58 | Heavy | PreBalance: $1.50 | PostBalance: $45.50 
29/10/2022 13:40:58 | U-Chews | PreBalance: $0.85 | PostBalance: $45.50 
29/10/2022 13:40:58 | Little League Chew | PreBalance: $0.95 | PostBalance: $45.50 
29/10/2022 13:40:58 | Chiclets | PreBalance: $0.75 | PostBalance: $45.50 
29/10/2022 13:40:58 | Triplemint | PreBalance: $0.75 | PostBalance: $45.50 
29/10/2022 13:44:18 | Potato Crisps | PreBalance: $3.05 | PostBalance: $0.00 
29/10/2022 13:44:18 | Stackers | PreBalance: $1.45 | PostBalance: $0.00 
29/10/2022 13:44:18 | Grain Waves | PreBalance: $2.75 | PostBalance: $0.00 
29/10/2022 13:44:18 | Cloud Popcorn | PreBalance: $3.65 | PostBalance: $0.00 
29/10/2022 13:44:18 | Moonpie | PreBalance: $1.80 | PostBalance: $0.00 
29/10/2022 13:44:18 | Cowtales | PreBalance: $1.50 | PostBalance: $0.00 
29/10/2022 13:44:18 | Wonka Bar | PreBalance: $1.50 | PostBalance: $0.00 
29/10/2022 13:44:18 | Crunchie | PreBalance: $1.75 | PostBalance: $0.00 
29/10/2022 13:44:18 | Cola | PreBalance: $1.25 | PostBalance: $0.00 
29/10/2022 13:44:18 | Dr. Salt | PreBalance: $1.50 | PostBalance: $0.00 
29/10/2022 13:44:18 | Cash input | PreBalance: $50.00 | PostBalance: $50.00 
29/10/2022 13:44:18 | Potato Crisps | PreBalance: $3.05 | PostBalance: $50.00 
29/10/2022 13:44:18 | Stackers | PreBalance: $1.45 | PostBalance: $50.00 
29/10/2022 13:44:18 | Grain Waves | PreBalance: $2.75 | PostBalance: $50.00 
29/10/2022 13:44:18 | Cloud Popcorn | PreBalance: $3.65 | PostBalance: $50.00 
29/10/2022 13:44:18 | Moonpie | PreBalance: $1.80 | PostBalance: $50.00 
29/10/2022 13:44:18 | Cowtales | PreBalance: $1.50 | PostBalance: $50.00 
29/10/2022 13:44:18 | Wonka Bar | PreBalance: $1.50 | PostBalance: $50.00 
29/10/2022 13:44:18 | Crunchie | PreBalance: $1.75 | PostBalance: $50.00 
29/10/2022 13:44:18 | Cola | PreBalance: $1.25 | PostBalance: $50.00 
29/10/2022 13:44:18 | Dr. Salt | PreBalance: $1.50 | PostBalance: $50.00 
29/10/2022 13:44:18 | Mountain Melter | PreBalance: $1.50 | PostBalance: $48.50 
29/10/2022 13:44:18 | Heavy | PreBalance: $1.50 | PostBalance: $48.50 
29/10/2022 13:44:18 | U-Chews | PreBalance: $0.85 | PostBalance: $48.50 
29/10/2022 13:44:18 | Little League Chew | PreBalance: $0.95 | PostBalance: $48.50 
29/10/2022 13:44:18 | Chiclets | PreBalance: $0.75 | PostBalance: $48.50 
29/10/2022 13:44:18 | Triplemint | PreBalance: $0.75 | PostBalance: $48.50 
